--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.002  000.002: --- NVIM STARTING ---
000.327  000.325: event init
000.548  000.221: early init
000.683  000.135: locale set
000.775  000.092: init first window
001.767  000.992: inits 1
001.811  000.044: window checked
001.822  000.011: parsing arguments
003.409  000.133  000.133: require('vim.shared')
003.708  000.129  000.129: require('vim.inspect')
003.852  000.113  000.113: require('vim._options')
003.859  000.431  000.189: require('vim._editor')
003.862  000.667  000.104: require('vim._init_packages')
003.868  001.380: init lua interpreter
004.052  000.184: expanding arguments
004.112  000.061: inits 2
004.893  000.781: init highlight
004.957  000.064: clear screen
005.373  000.030  000.030: require('vim.keymap')
007.591  000.255  000.255: sourcing nvim_exec2()
007.817  002.849  002.563: require('vim._defaults')
007.821  000.015: init default mappings & autocommands
008.390  000.083  000.083: sourcing /usr/share/nvim/runtime/ftplugin.vim
008.501  000.053  000.053: sourcing /usr/share/nvim/runtime/indent.vim
008.687  000.112  000.112: sourcing /usr/share/nvim/archlinux.lua
008.696  000.151  000.039: sourcing /etc/xdg/nvim/sysinit.vim
013.575  003.023  003.023: require('vim.filetype')
013.742  004.286  001.263: require('config.options')
014.031  000.072  000.072: require('util.keymapper')
014.680  000.934  000.863: require('config.keymaps')
014.928  000.245  000.245: require('config.autocmds')
014.972  000.041  000.041: require('config.helpers')
015.045  000.070  000.070: require('config.health')
015.180  000.131  000.131: require('lazy')
015.207  000.014  000.014: require('ffi')
015.274  000.025  000.025: require('vim.fs')
015.379  000.102  000.102: require('vim.uri')
015.395  000.185  000.058: require('vim.loader')
015.618  000.205  000.205: require('lazy.stats')
015.755  000.116  000.116: require('lazy.core.util')
015.876  000.118  000.118: require('lazy.core.config')
016.043  000.064  000.064: require('lazy.core.handler')
016.349  000.163  000.163: require('lazy.pkg')
016.353  000.223  000.060: require('lazy.core.meta')
016.359  000.313  000.091: require('lazy.core.plugin')
016.366  000.488  000.111: require('lazy.core.loader')
017.120  000.103  000.103: require('lazy.async')
017.273  000.066  000.066: require('lazy.manage.process')
017.386  000.110  000.110: require('lazy.terminal')
017.393  000.270  000.094: require('lazy.manage.task')
017.396  000.457  000.084: require('lazy.manage.runner')
017.398  000.520  000.063: require('lazy.manage')
017.401  000.595  000.075: require('lazy.view.commands')
017.526  000.106  000.106: require('lazy.core.fragments')
019.425  000.052  000.052: require('util.icons')
020.533  000.037  000.037: require('util.lsp')
021.176  000.042  000.042: require('lazy.core.handler.cmd')
021.220  000.040  000.040: require('lazy.core.handler.keys')
021.273  000.046  000.046: require('lazy.core.handler.event')
021.306  000.030  000.030: require('lazy.core.handler.ft')
022.197  000.104  000.104: sourcing nvim_exec2() called at /usr/share/nvim/runtime/filetype.lua:0
022.201  000.156  000.052: sourcing /usr/share/nvim/runtime/filetype.lua
022.205  000.188  000.032: sourcing nvim_exec2() called at /home/jonco/src/dotfiles/config/nvim/init.lua:0
